,N,M,Method,Error,Computation Time
521,512,9,Lanzcos,2.51657994460705e-15,0.0023935794830322265
522,512,10,Scipy,0.0,0.0009965896606445312
523,512,20,Arnoldi,2.0472048632728357e-15,0.004585409164428711
524,512,30,Lanzcos,2.117730426986019e-15,0.004089093208312989
525,512,40,Scipy,0.0,0.0009965896606445312
526,512,50,Arnoldi,2.0472048632728357e-15,0.01675734519958496
527,512,60,Lanzcos,2.51657994460705e-15,0.006879162788391113
528,512,70,Scipy,0.0,0.0009965896606445312
529,512,80,Arnoldi,2.0472048632728357e-15,0.03630290031433105
530,512,90,Lanzcos,2.51657994460705e-15,0.009474635124206543
531,512,100,Scipy,0.0,0.0009965896606445312
532,512,1,Arnoldi,6.186111916996626e-05,0.0007957696914672851
533,512,2,Lanzcos,8.158334208626918e-11,0.0012965917587280274
534,512,3,Scipy,0.0,0.0009965896606445312
535,512,4,Arnoldi,2.0472048632728357e-15,0.005387020111083984
536,512,5,Lanzcos,2.51657994460705e-15,0.0015969514846801759
537,512,6,Scipy,0.0,0.0009965896606445312
538,512,7,Arnoldi,2.0472048632728357e-15,0.0014958620071411134
539,512,8,Lanzcos,2.51657994460705e-15,0.0018951177597045898
540,512,9,Scipy,0.0,0.0009965896606445312
541,512,10,Arnoldi,2.0472048632728357e-15,0.0023937225341796875
542,512,20,Lanzcos,2.51657994460705e-15,0.0031913280487060546
543,512,30,Scipy,0.0,0.0009965896606445312
544,512,40,Arnoldi,2.0472048632728357e-15,0.011170244216918946
545,512,50,Lanzcos,2.51657994460705e-15,0.005784440040588379
546,512,60,Scipy,0.0,0.0009965896606445312
547,512,70,Arnoldi,2.0472048632728357e-15,0.02872309684753418
548,512,80,Lanzcos,4.979304740803126e-15,0.007981586456298827
549,512,90,Scipy,0.0,0.0009965896606445312
550,512,100,Arnoldi,2.0472048632728357e-15,0.055853867530822755
551,512,1,Lanzcos,5.630734521234285e-05,0.0009972810745239257
552,512,2,Scipy,0.0,0.0009965896606445312
553,512,3,Arnoldi,2.2799740047984337e-15,0.001495695114135742
554,512,4,Lanzcos,2.117730426986019e-15,0.0018970966339111328
555,512,5,Scipy,0.0,0.0009965896606445312
556,512,6,Arnoldi,2.0472048632728357e-15,0.0028921842575073244
557,512,7,Lanzcos,2.51657994460705e-15,0.002296757698059082
558,512,8,Scipy,0.0,0.0009965896606445312
559,512,9,Arnoldi,2.0472048632728357e-15,0.002094411849975586
560,512,10,Lanzcos,2.51657994460705e-15,0.0024931669235229493
561,512,20,Scipy,0.0,0.0009965896606445312
562,512,30,Arnoldi,2.0472048632728357e-15,0.007876062393188476
563,512,40,Lanzcos,2.117730426986019e-15,0.005186152458190918
564,512,50,Scipy,0.0,0.0009965896606445312
565,512,60,Arnoldi,2.0472048632728357e-15,0.02263939380645752
566,512,70,Lanzcos,2.51657994460705e-15,0.0077791929244995115
567,512,80,Scipy,0.0,0.0009965896606445312
568,512,90,Arnoldi,2.0472048632728357e-15,0.049268245697021484
569,512,100,Lanzcos,2.51657994460705e-15,0.010571813583374024
570,1024,1,Scipy,0.0,0.000997781753540039
571,1024,2,Arnoldi,3.2378618154466595e-11,0.0011968374252319335
572,1024,3,Lanzcos,2.0974955866141024e-15,0.001593017578125
573,1024,4,Scipy,0.0,0.000997781753540039
